Element,Ionization energy,Electron affinity,Covalent radius,ln_I,Atomic volume,ln_V,Atomic mass,Atomic Radius,X,Valence
H,13.598443,0.754195,0.31,2.609955301,11.42,2.435366204,1.00794,0.25,2.2,1
He,24.587387,-0.5,0.28,3.202233588,21,3.044522438,4.002602,1.2,0,0
Li,5.391719,0.618049,1.28,1.684864258,13.02,2.566486637,6.941,1.45,0.98,1
Be,9.3227,-0.5,0.96,2.232452286,4.85,1.578978705,9.012182,1.05,1.57,2
B,8.29802,0.279723,0.84,2.116016932,4.39,1.479329227,10.811,0.85,2.04,1
C,11.2603,1.2621226,0.76,2.421283265,5.29,1.665818246,12.0107,0.7,2.55,2
N,14.5341,-0.07,0.71,2.676497613,13.54,2.605648267,14.0067,0.65,3.04,3
O,13.61805,1.46111297,0.66,2.611396119,17.36,2.854168709,15.9994,0.6,3.44,4
F,17.4228,3.4011898,0.57,2.857779693,11.2,2.415913778,18.9984032,0.5,3.98,5
Ne,21.56454,-1.2,0.58,3.071050299,13.23,2.582486978,20.1797,1.6,0,0
Na,5.139076,0.547926,1.66,1.636873297,23.78,3.168844891,22.98976928,1.8,0.93,1
Mg,7.646235,-0.4,1.41,2.03421337,14,2.63905733,24.305,1.5,1.31,2
Al,5.8576,0.43283,1.21,1.767739963,10,2.302585093,26.9815386,1.25,1.61,1
Si,8.15168,1.3895212,1.11,2.098224041,12.06,2.489894191,28.0855,1.1,1.9,2
P,10.48669,0.746609,1.07,2.350106834,17.02,2.834389123,30.973762,1,2.19,3
S,10.36001,2.0771042,1.05,2.337953202,15.53,2.742773637,32.065,1,2.58,4
Cl,12.96763,3.612725,1.02,2.562456252,17.39,2.855895328,35.453,1,3.16,5
Ar,16,-1,1.06,2.757450338,22.56,3.116178427,39.948,0.71,0,0
K,4.3406633,0.501459,2.03,1.468027171,45.94,3.827336197,39.0983,2.2,0.82,1
Ca,6.11316,0.02455,1.76,1.810443824,26.2,3.265759411,40.078,1.8,1,2
Sc,6.56149,0.17938,1.7,1.881217711,15,2.708050201,44.955912,1.6,1.36,1
Ti,6.82812,0.07554,1.6,1.921049379,10.64,2.364620484,47.867,1.4,1.54,2
V,6.74619,0.52766,1.53,1.908977901,8.32,2.118662255,50.9415,1.35,1.63,3
Cr,6.76651,0.675928,1.39,1.911985444,7.23,1.978239036,51.9961,1.4,1.66,4
Mn,7.43402,-0.5,1.39,2.006066762,7.35,1.994700313,54.938045,1.4,1.55,5
